team_id,name
4,Bentown Tippers
11,Dahlberg Dall Sheep
14,Gruberton Groupers
28,Victorville Vicars
10,Dayville Daytrippers
16,Jorlette Coordinators
26,Sobczakgo Cubs
8,Byron Bay Bee-Eaters
7,Bjornstad Bears
23,Pearsonville Felines
13,Florence Nightingales
17,Knowlton Knolls
19,Mainekala Down Easters
21,Megtown Senders
2,Barangay Navio Biyolinistas
12,Grandberg Fir Peaks
15,Hughville Wagoneers
20,Marbraska Whitings
22,Mirandaville Mallards
24,Reynoldstown Wrappers
29,Wellsville Kakuros
9,Chandler Bings
25,Rosieville Riveters
27,Sudsville Swimmers
30,Worthenton Originals
1,Andy Zhèn Forests
3,Bennionville Bobcats
5,Billings Enforcers
6,Billville Jovyans
18,Lawless Mappers
